RK	NAME	TEAM	SALARY
159	Kyle Korver, SG	Cleveland Cavaliers	$7,000,000
160	Jae Crowder, PF	Cleveland Cavaliers	$6,796,117
161	Jabari Parker, PF	Milwaukee Bucks	$6,782,392
162	Langston Galloway, SG	Detroit Pistons	$6,666,667
163	Lance Thomas, SF	New York Knicks	$6,655,325
164	Carl Landry, PF	Philadelphia 76ers	$6,500,000
165	Tim Duncan, C	San Antonio Spurs	$6,393,750
166	Andrew Nicholson, PF	Portland Trail Blazers	$6,362,998
167	Ed Davis, PF	Portland Trail Blazers	$6,352,531
168	Jonathon Simmons, SF	Orlando Magic	$6,300,000
169	Lonzo Ball, PG	Los Angeles Lakers	$6,286,560
170	Wayne Ellington, SG	Miami Heat	$6,270,000
171	Isaiah Thomas, PG	Cleveland Cavaliers	$6,261,395
172	Karl-Anthony Towns, C	Minnesota Timberwolves	$6,216,840
173	Ben Simmons, PG	Philadelphia 76ers	$6,168,840
174	Joel Embiid, C	Philadelphia 76ers	$6,100,266
175	Spencer Hawes, PF	Milwaukee Bucks	$6,061,175
176	Marco Belinelli, SG	Atlanta Hawks	$6,060,606
177	Josh McRoberts, PF	Dallas Mavericks	$6,021,175
178	Ish Smith, PG	Detroit Pistons	$6,000,000
179	Alan Williams, PF	Phoenix Suns	$6,000,000
180	Dewayne Dedmon, C	Atlanta Hawks	$6,000,000
181	Ersan Ilyasova, PF	Atlanta Hawks	$6,000,000
182	Brandan Wright, PF	Memphis Grizzlies	$5,955,760
183	Wesley Johnson, SF	LA Clippers	$5,882,260
184	Tyler Johnson, SG	Miami Heat	$5,881,260
185	Alex Abrines, SG	Oklahoma City Thunder	$5,725,000
186	Jayson Tatum, SF	Boston Celtics	$5,645,400
187	Jared Sullinger, C	Phoenix Suns	$5,628,000
188	D'Angelo Russell, PG	Brooklyn Nets	$5,562,360
189	Brandon Ingram, SF	Los Angeles Lakers	$5,519,400
190	Patrick Beverley, PG	LA Clippers	$5,513,514
191	Aaron Gordon, PF	Orlando Magic	$5,504,420
192	Thabo Sefolosha, SF	Utah Jazz	$5,500,000
193	Luis Scola, PF	Brooklyn Nets	$5,500,000
194	Jason Smith, PF	Washington Wizards	$5,225,000
195	Ben McLemore, SG	Memphis Grizzlies	$5,200,000
196	Patrick Patterson, PF	Oklahoma City Thunder	$5,192,000
197	Nick Young, SG	Golden State Warriors	$5,192,000
198	Josh Jackson, SF	Phoenix Suns	$5,090,040
199	C.J. Watson, PG	Orlando Magic	$5,000,000
200	Dirk Nowitzki, PF	Dallas Mavericks	$5,000,000
201	Mike Muscala, PF	Atlanta Hawks	$5,000,000
202	Jahlil Okafor, C	Philadelphia 76ers	$4,995,120
203	Dante Exum, PG	Utah Jazz	$4,992,385
204	Alexis Ajinca, C	New Orleans Pelicans	$4,961,798
205	Jaylen Brown, SG	Boston Celtics	$4,956,480
206	Mike Dunleavy, SG	Atlanta Hawks	$4,837,500
207	Kyle Singler, SF	Oklahoma City Thunder	$4,666,500
